Date,Txn Date,Narrative,Credit,Debit
24-07,24-07,FOREIGN EXCHANGE FEES CAIRO,,2.25
27-07,27-07,FOREIGN EXCHANGE FEES CAIRO,,6.00
15-08,15-08,FOREIGN EXCHANGE FEES CAIRO,,.57
16-08,16-08,FOREIGN EXCHANGE FEES CAIRO,,1.50
25-05,25-05,VODAFONE EGYPT CAIRO,505.00,
8-07,8-07,VODAFONE EGYPT CAIRO,,505.00
19-07,19-07,MOBIL ONE CENTER CAIRO,,66.00
20-07,20-07,FLY BUY MENIA 2 MENYA-18H,,55.00
20-07,20-07,STARBUCKS DRIVE THRU CAIRO N. -07A,,35.00
21-07,21-07,INSTASHOP CAIRO N. -07A,,176.00
21-07,21-07,NEW PENNY CAIRO N. -07A,,162.00
22-07,22-07,APPLE.COM/BILL ITUNES.COM,,74.99
23-07,23-07,INSTASHOP CAIRO N. -07A,,847.04
23-07,23-07,TBS CB O1 Mall New Cairo,,288.00
24-07,24-07,FAWRY*TOMMY CAIRO D T,,440.00
25-07,25-07,INSTASHOP CAIRO N. -07A,,147.55
26-07,26-07,INSTASHOP CAIRO N. -07A,,224.50
26-07,26-07,Talabat Cairo,,136.46
27-07,27-07,Netflix.com Los Gatos,,200.00
27-07,27-07,VODAFONE EGYPT CAIRO,,105.00
28-07,28-07,SEOUDI - WATER WAY MALL CAIRO N. -07A,,140.45
28-07,28-07,Circle K Midor CAIRO N. -07A,,80.00
28-07,28-07,TRAFFIC MARKET CAIRO,,79.00
30-07,30-07,VODAFONE EGYPT CAIRO,,415.00
31-07,31-07,INSTASHOP CAIRO N. -07A,,357.00
31-07,31-07,Ola Energy Diplo CAIRO N. -07A,,295.00
31-07,31-07,Starbucks Diplomat CAIRO N. -07A,,55.00
31-07,31-07,Talabat Cairo,,205.96
1-08,1-08,DR RANA MOHAMED PHARMA CAIRO N. -07A,,13.50
1-08,1-08,VODAFONE EGYPT CAIRO,,205.00
1-08,1-08,VODAFONE EGYPT CAIRO,,1905.00
1-08,1-08,TRS GIRA MARKET CAIRO,,343.97
2-08,2-08,Talabat Cairo,,207.10
4-08,4-08,EMARAT MISRC F C CAIRO,,46.00
4-08,4-08,STARBUCKS DRIVE THRU CAIRO N. -07A,,45.00
4-08,4-08,TRAFFIC MARKET CAIRO,,72.00
5-08,5-08,Ola Energy Diplo CAIRO N. -07A,,455.00
5-08,5-08,Starbucks Diplomat CAIRO N. -07A,,50.00
5-08,5-08,APEX CO. CAIRO,,45.00
5-08,5-08,ON THE RUN -URBAN 5NEW CAIRO,,1100.00
6-08,6-08,INSTASHOP CAIRO N. -07A,,780.22
6-08,6-08,Paymob - BREADFAST CAIRO,,142.50
8-08,8-08,VODAFONE EGYPT CAIRO,,505.00
8-08,8-08,APEX CO. CAIRO,,45.00
9-08,9-08,TBS CB O1 Mall New Cairo,,190.00
9-08,9-08,ON THE RUN -URBAN 5NEW CAIRO,,111.00
10-08,10-08,Ola Energy Diplo CAIRO N. -07A,,360.00
10-08,10-08,TRAFFIC MARKET CAIRO,,25.00
10-08,10-08,STARBUCKS DRIVE THRU CAIRO N. -07A,,50.00
11-08,11-08,DECATHLON EGYPT - CFC CAIRO E. -07C,,599.00
11-08,11-08,Talabat Cairo,,77.49
11-08,11-08,TBS CB O1 Mall New Cairo,,65.00
12-08,12-08,INSTASHOP CAIRO N. -07A,,293.00
12-08,12-08,Talabat Cairo,,65.49
12-08,12-08,VODAFONE EGYPT CAIRO,,405.00
13-08,13-08,Myfawry Maadi,,225.01
13-08,13-08,KRISPY KREME 21712 CAIRO N. -07A,,80.00
14-08,14-08,APPLE.COM/BILL ITUNES.COM,,18.99
14-08,14-08,Starbucks Diplomat CAIRO N. -07A,,130.00
15-08,15-08,INSTASHOP CAIRO N. -07A,,408.76
15-08,15-08,APPLE.COM/BILL ITUNES.COM,,49.99
16-08,16-08,INSTASHOP CAIRO N. -07A,,143.00
16-08,16-08,Noon Egypt Cairo,,375.00
17-08,17-08,myfawry Maadi,,102.50
26-07,26-07,PAYMENT RECEIVED INTERNET,469.92,
30-07,30-07,PAYMENT RECEIVED INTERNET,1000.00,
30-07,30-07,PAYMENT RECEIVED INTERNET,400.00,
31-07,31-07,PAYMENT RECEIVED INTERNET,12500.00,
1-08,1-08,INSURANCE FEE -SOLIDARITY CLOSING BALANCE,,10.00
