date,txn date,clean_narrative,value
02/10/2022,02/10/2022,Online Transfer Transfer to Another CIB Client,-50.0
02/10/2022,02/10/2022,POS PURCHASE Myfawry Maadi EG,-2640.89
02/10/2022,02/10/2022,Online Transfer Transfer to Another CIB Client,1500.0
02/10/2022,02/10/2022,POS PURCHASE Myfawry Maadi EG,-1670.45
03/10/2022,03/10/2022,Online Transfer Transfer to Another CIB Client,1500.0
03/10/2022,03/10/2022,Outward Online Transfer,-1850.0
03/10/2022,03/10/2022,ATM WITHDRAWAL BDC EL TGAMAA EL KHAME CAIRO EG,-2005.0
03/10/2022,03/10/2022,POS PURCHASE CAREEM OCT,-23.0
03/10/2022,03/10/2022,POS PURCHASE COOK DOOR CAIRO,-371.0
03/10/2022,03/10/2022,POS PURCHASE CAREEM OCT,-23.0
03/10/2022,03/10/2022,POS PURCHASE CAREEM OCT,-13.0
04/10/2022,04/10/2022,POS PURCHASE myfawry Maadi EG,-152.5
05/10/2022,05/10/2022,POS PURCHASE CHILL OUT CAIRO EG,-345.0
05/10/2022,05/10/2022,POS PURCHASE PRIME PICK UP ALEX,-5.0
10/10/2022,10/10/2022,Online Transfer Transfer to Another CIB Client,12.5
13/10/2022,13/10/2022,Online Transfer Transfer to Another CIB Client,108.5
13/10/2022,13/10/2022,Online Transfer Transfer to Another CIB Client,-23.5
18/10/2022,18/10/2022,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
25/10/2022,25/10/2022,Inward ACH ACH(ACH/) RTIN(SALARY FO SYNDO EMPLOYEES) FROM(,6000.0
27/10/2022,27/10/2022,Online Transfer Transfer to Another CIB Client,-5.0
27/10/2022,27/10/2022,Online Transfer Transfer to Another CIB Client,-3000.0
30/10/2022,30/10/2022,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-900.0
30/10/2022,30/10/2022,Online Transfer Transfer to Another CIB Client,200.0
31/10/2022,31/10/2022,POS PURCHASE AMAZON CO JP TOKYO JP,-2008.01
31/10/2022,31/10/2022,Credit Interest,
01/11/2022,01/11/2022,POS PURCHASE TOP UP VODAFONE NSR CAIRO EG,-50.0
01/11/2022,01/11/2022,POS PURCHASE TOTAL FUEL CAIRO,-432.0
01/11/2022,01/11/2022,POS PURCHASE STAR FOR PLASTIC GIZA,-93.5
01/11/2022,01/11/2022,POS PURCHASE HAG ARAFA CAIRO,-40.03
06/11/2022,06/11/2022,ATM DEPOSIT CIB MOKATTAM BR II CAIRO EG,
06/11/2022,06/11/2022,Online Transfer Transfer to Another CIB Client,-200.0
06/11/2022,06/11/2022,Outward Online Transfer,-2000.0
07/11/2022,07/11/2022,POS PURCHASE CARIBOU CAFE CAIRO EG,-119.0
08/11/2022,08/11/2022,POS PURCHASE STARBUCKS TIVOLI CAIRO,-65.0
09/11/2022,09/11/2022,POS PURCHASE MCDONALDS CHILL OUT MO CAIRO,-35.0
