Date,Txn Date,Narrative,Value,Clean_Narrative
06/07/2022,06/07/2022,POS PURCHASE FT22187LV3WY\BNK Uber BV Cairo EG 529566 5318050000002118,-39.6,POS PURCHASE Uber BV Cairo EG
17/07/2022,17/07/2022,POS PURCHASE FT22198WDKBL\BNK Orange Egypt 1 EG 517460 5318050000002118,-100.0,POS PURCHASE Orange Egypt EG
17/07/2022,17/07/2022,POS PURCHASE FT22198HF3V2\BNK Uber BV Cairo EG 529566 5318050000002118,-39.86,POS PURCHASE Uber BV Cairo EG
18/07/2022,18/07/2022,POS PURCHASE FT221998L7JX\BNK APPLE COM BILL ITUNES COM IE 5318050000002118,-17.5,POS PURCHASE APPLE COM BILL ITUNES COM IE
28/07/2022,28/07/2022,Fees Account Transfer FT222098JTQ8\D27 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
31/07/2022,31/07/2022,Credit Interest 100038175321-20220731,0.01,Credit Interest
25/08/2022,25/08/2022,Fees Account Transfer FT22237N077X\B02 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-1.32,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
29/08/2022,29/08/2022,ATM CARDLESS DEPOSIT FT22241TNMLX\D24 CIB WATER WAY BR I CAIRO EG 18520908 123456789 100038175321,100.0,ATM CARDLESS DEPOSIT \ CIB WATER WAY BR CAIRO EG
30/08/2022,30/08/2022,Fees Account Transfer FT22242QZG2B\B01 Debit Card Fees for 100038175321,-60.0,Fees Account Transfer \ Debit Card Fees for
30/08/2022,30/08/2022,Fees Account Transfer FT22242TXDZR\B01 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-8.68,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
04/09/2022,04/09/2022,ATM CARDLESS DEPOSIT FT222478DPFR\D17 CIB CFC BR II CAIRO EG 15220418 123456789 100038175321,100.0,ATM CARDLESS DEPOSIT \ CIB CFC BR II CAIRO EG
18/09/2022,18/09/2022,ATM WITHDRAWAL FT22261Q5934\BNK BDC EL TGAMAA EL KHAME CAIRO EG BDC00000 5264390000005656,-105.0,ATM WITHDRAWAL BDC EL TGAMAA EL KHAME CAIRO EG
26/09/2022,26/09/2022,Inward ACH FT22269GNYVR\BNK ACH(414OTDB222680015) RTIN()مصاريف F ROM(EG520003041430104622268000130) (,5000.0,Inward ACH ACH() RTIN()مصاريف ROM() (
27/09/2022,27/09/2022,ATM DEPOSIT FT2227083YC7\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5264390000005656 100038175321,2000.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
28/09/2022,28/09/2022,Fees Account Transfer FT22271JXL0Z\B03 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
29/09/2022,29/09/2022,POS PURCHASE FT2227264D63\BNK G2A COM AMSTERDAM NL ZEN00004 5264390000005656,-2160.34,POS PURCHASE COM AMSTERDAM NL
29/09/2022,29/09/2022,Credit Interest 100038175321-20220930 CLOSING BALANCE,0.12,Credit Interest
