Date,Txn Date,Narrative,Value,Clean_Narrative
28/04/2022,28/04/2022,ATM DEPOSIT FT22118SBG63\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,200.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
28/04/2022,28/04/2022,ATM DEPOSIT FT22118LJDDY\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,100.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
28/04/2022,28/04/2022,Credit Interest 100038175321-20220430,0.02,Credit Interest
08/05/2022,08/05/2022,POS PURCHASE FT2212897HCY\BNK APPLE COM BILL ITUNES COM IE 5318050000002118,-41.19,POS PURCHASE APPLE COM BILL ITUNES COM IE
08/05/2022,08/05/2022,POS PURCHASE FT2212846N13\BNK Riot AE2GGNPG0YS2 Dublin IE 5318050000002118,-203.84,POS PURCHASE Riot Dublin IE
10/05/2022,10/05/2022,POS PURCHASE FT22130B19MS\BNK Orange Egypt 1 EG 517460 5318050000002118,-58.0,POS PURCHASE Orange Egypt EG
17/05/2022,17/05/2022,ATM DEPOSIT FT22137BVS1J\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,200.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
19/05/2022,19/05/2022,ATM DEPOSIT FT22139MZ9CF\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,250.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
19/05/2022,19/05/2022,POS PURCHASE FT221399S296\BNK G2A COM AMSTERDAM NL ZEN00004 5318050000002118,-188.41,POS PURCHASE COM AMSTERDAM NL
19/05/2022,19/05/2022,Fees Account Transfer FT22139X629J\B09 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
22/05/2022,22/05/2022,POS PURCHASE FT22142DRG8N\BNK WWW G2G COM SINGAPORE SG O9N2LNNC 5318050000002118,-239.14,POS PURCHASE WWW COM SINGAPORE SG
22/05/2022,22/05/2022,POS PURCHASE REFUND FT22142XR8GB\BNK G2A COM AMSTERDAM NL ZEN00004 5318050000002118,189.94,POS PURCHASE REFUND COM AMSTERDAM NL
26/05/2022,26/05/2022,Fees Account Transfer FT22146R9C26\B09 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
29/05/2022,29/05/2022,POS PURCHASE FT22149V0PQH\BNK PAYPAL SPOTIFY 35314369001 GB 00000001 5318050000002118,-51.49,POS PURCHASE PAYPAL SPOTIFY GB
31/05/2022,31/05/2022,Credit Interest 100038175321-20220531,0.01,Credit Interest
19/06/2022,19/06/2022,POS PURCHASE FT221704FS93\BNK Orange Egypt 1 EG 517460 5318050000002118,-15.0,POS PURCHASE Orange Egypt EG
20/06/2022,20/06/2022,POS PURCHASE FT22171WR43W\BNK Orange Egypt 1 EG 517460 5318050000002118,-58.0,POS PURCHASE Orange Egypt EG
26/06/2022,26/06/2022,ATM DEPOSIT FT221776X37D\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,400.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
26/06/2022,26/06/2022,POS PURCHASE FT22177Z2Q4Z\BNK Orange Egypt 1 EG 517460 5318050000002118,-15.0,POS PURCHASE Orange Egypt EG
27/06/2022,27/06/2022,POS PURCHASE FT22178SX26D\BNK Myfawry Maadi EG NBE00060 5318050000002118,-185.4,POS PURCHASE Myfawry Maadi EG
28/06/2022,28/06/2022,POS PURCHASE FT22179M82TM\BNK PAYPAL SPOTIFY 35314369001 GB 00000001 5318050000002118,-51.49,POS PURCHASE PAYPAL SPOTIFY GB
29/06/2022,29/06/2022,Fees Account Transfer FT22180JQ0YN\A01 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
29/06/2022,29/06/2022,Credit Interest 100038175321-20220630 CLOSING BALANCE,0.32,Credit Interest
