Date,Txn Date,Narrative,Value,Clean_Narrative
24-07,24-07,FOREIGN EXCHANGE FEES CAIRO,-2.25,FOREIGN EXCHANGE FEES CAIRO
27-07,27-07,FOREIGN EXCHANGE FEES CAIRO,-6.0,FOREIGN EXCHANGE FEES CAIRO
15-08,15-08,FOREIGN EXCHANGE FEES CAIRO,-0.57,FOREIGN EXCHANGE FEES CAIRO
16-08,16-08,FOREIGN EXCHANGE FEES CAIRO,-1.5,FOREIGN EXCHANGE FEES CAIRO
25-05,25-05,VODAFONE EGYPT CAIRO,505.0,VODAFONE EGYPT CAIRO
8-07,8-07,VODAFONE EGYPT CAIRO,-505.0,VODAFONE EGYPT CAIRO
19-07,19-07,MOBIL ONE CENTER CAIRO,-66.0,MOBIL ONE CENTER CAIRO
20-07,20-07,FLY BUY MENIA 2 MENYA-18H,-55.0,FLY BUY MENIA MENYA
20-07,20-07,STARBUCKS DRIVE THRU CAIRO N. -07A,-35.0,STARBUCKS DRIVE THRU CAIRO .
21-07,21-07,INSTASHOP CAIRO N. -07A,-176.0,INSTASHOP CAIRO .
21-07,21-07,NEW PENNY CAIRO N. -07A,-162.0,NEW PENNY CAIRO .
22-07,22-07,APPLE.COM/BILL ITUNES.COM,-74.99,APPLE.COM/BILL ITUNES.COM
23-07,23-07,INSTASHOP CAIRO N. -07A,-847.04,INSTASHOP CAIRO .
23-07,23-07,TBS CB O1 Mall New Cairo,-288.0,TBS CB Mall New Cairo
24-07,24-07,FAWRY*TOMMY CAIRO D T,-440.0,FAWRY*TOMMY CAIRO
25-07,25-07,INSTASHOP CAIRO N. -07A,-147.55,INSTASHOP CAIRO .
26-07,26-07,INSTASHOP CAIRO N. -07A,-224.5,INSTASHOP CAIRO .
26-07,26-07,Talabat Cairo,-136.46,Talabat Cairo
27-07,27-07,Netflix.com Los Gatos,-200.0,Netflix.com Los Gatos
27-07,27-07,VODAFONE EGYPT CAIRO,-105.0,VODAFONE EGYPT CAIRO
28-07,28-07,SEOUDI - WATER WAY MALL CAIRO N. -07A,-140.45,SEOUDI WATER WAY MALL CAIRO .
28-07,28-07,Circle K Midor CAIRO N. -07A,-80.0,Circle Midor CAIRO .
28-07,28-07,TRAFFIC MARKET CAIRO,-79.0,TRAFFIC MARKET CAIRO
30-07,30-07,VODAFONE EGYPT CAIRO,-415.0,VODAFONE EGYPT CAIRO
31-07,31-07,INSTASHOP CAIRO N. -07A,-357.0,INSTASHOP CAIRO .
31-07,31-07,Ola Energy Diplo CAIRO N. -07A,-295.0,Ola Energy Diplo CAIRO .
31-07,31-07,Starbucks Diplomat CAIRO N. -07A,-55.0,Starbucks Diplomat CAIRO .
31-07,31-07,Talabat Cairo,-205.96,Talabat Cairo
1-08,1-08,DR RANA MOHAMED PHARMA CAIRO N. -07A,-13.5,DR RANA MOHAMED PHARMA CAIRO .
1-08,1-08,VODAFONE EGYPT CAIRO,-205.0,VODAFONE EGYPT CAIRO
1-08,1-08,VODAFONE EGYPT CAIRO,-1905.0,VODAFONE EGYPT CAIRO
1-08,1-08,TRS GIRA MARKET CAIRO,-343.97,TRS GIRA MARKET CAIRO
2-08,2-08,Talabat Cairo,-207.1,Talabat Cairo
4-08,4-08,EMARAT MISRC F C CAIRO,-46.0,EMARAT MISRC CAIRO
4-08,4-08,STARBUCKS DRIVE THRU CAIRO N. -07A,-45.0,STARBUCKS DRIVE THRU CAIRO .
4-08,4-08,TRAFFIC MARKET CAIRO,-72.0,TRAFFIC MARKET CAIRO
5-08,5-08,Ola Energy Diplo CAIRO N. -07A,-455.0,Ola Energy Diplo CAIRO .
5-08,5-08,Starbucks Diplomat CAIRO N. -07A,-50.0,Starbucks Diplomat CAIRO .
5-08,5-08,APEX CO. CAIRO,-45.0,APEX CO. CAIRO
5-08,5-08,ON THE RUN -URBAN 5NEW CAIRO,-1100.0,ON THE RUN URBAN CAIRO
6-08,6-08,INSTASHOP CAIRO N. -07A,-780.22,INSTASHOP CAIRO .
6-08,6-08,Paymob - BREADFAST CAIRO,-142.5,Paymob BREADFAST CAIRO
8-08,8-08,VODAFONE EGYPT CAIRO,-505.0,VODAFONE EGYPT CAIRO
8-08,8-08,APEX CO. CAIRO,-45.0,APEX CO. CAIRO
9-08,9-08,TBS CB O1 Mall New Cairo,-190.0,TBS CB Mall New Cairo
9-08,9-08,ON THE RUN -URBAN 5NEW CAIRO,-111.0,ON THE RUN URBAN CAIRO
10-08,10-08,Ola Energy Diplo CAIRO N. -07A,-360.0,Ola Energy Diplo CAIRO .
10-08,10-08,TRAFFIC MARKET CAIRO,-25.0,TRAFFIC MARKET CAIRO
10-08,10-08,STARBUCKS DRIVE THRU CAIRO N. -07A,-50.0,STARBUCKS DRIVE THRU CAIRO .
11-08,11-08,DECATHLON EGYPT - CFC CAIRO E. -07C,-599.0,DECATHLON EGYPT CFC CAIRO .
11-08,11-08,Talabat Cairo,-77.49,Talabat Cairo
11-08,11-08,TBS CB O1 Mall New Cairo,-65.0,TBS CB Mall New Cairo
12-08,12-08,INSTASHOP CAIRO N. -07A,-293.0,INSTASHOP CAIRO .
12-08,12-08,Talabat Cairo,-65.49,Talabat Cairo
12-08,12-08,VODAFONE EGYPT CAIRO,-405.0,VODAFONE EGYPT CAIRO
13-08,13-08,Myfawry Maadi,-225.01,Myfawry Maadi
13-08,13-08,KRISPY KREME 21712 CAIRO N. -07A,-80.0,KRISPY KREME CAIRO .
14-08,14-08,APPLE.COM/BILL ITUNES.COM,-18.99,APPLE.COM/BILL ITUNES.COM
14-08,14-08,Starbucks Diplomat CAIRO N. -07A,-130.0,Starbucks Diplomat CAIRO .
15-08,15-08,INSTASHOP CAIRO N. -07A,-408.76,INSTASHOP CAIRO .
15-08,15-08,APPLE.COM/BILL ITUNES.COM,-49.99,APPLE.COM/BILL ITUNES.COM
16-08,16-08,INSTASHOP CAIRO N. -07A,-143.0,INSTASHOP CAIRO .
16-08,16-08,Noon Egypt Cairo,-375.0,Noon Egypt Cairo
17-08,17-08,myfawry Maadi,-102.5,myfawry Maadi
26-07,26-07,PAYMENT RECEIVED INTERNET,469.92,PAYMENT RECEIVED INTERNET
30-07,30-07,PAYMENT RECEIVED INTERNET,1000.0,PAYMENT RECEIVED INTERNET
30-07,30-07,PAYMENT RECEIVED INTERNET,400.0,PAYMENT RECEIVED INTERNET
31-07,31-07,PAYMENT RECEIVED INTERNET,12500.0,PAYMENT RECEIVED INTERNET
1-08,1-08,INSURANCE FEE -SOLIDARITY CLOSING BALANCE,-10.0,INSURANCE FEE SOLIDARITY
