Date,Txn Date,Narrative,Value,Clean_Narrative
05/01/2022,05/01/2022,Online Transfer FT22005VXMPB\BNK - Transfer to Another CIB Client,65.0,Online Transfer Transfer to Another CIB Client
30/01/2022,30/01/2022,Fees Account Transfer FT22030QFJSW\A01 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
30/01/2022,30/01/2022,POS PURCHASE FT22030MPFG0\BNK PAYPAL SPOTIFY 35314369001 GB 00000001 5318050000002118,-51.49,POS PURCHASE PAYPAL SPOTIFY GB
31/01/2022,31/01/2022,Credit Interest 100038175321-20220131,0.01,Credit Interest
03/02/2022,03/02/2022,ATM DEPOSIT FT2203407CNF\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,3500.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
07/02/2022,07/02/2022,POS PURCHASE FT22038NTQ9X\BNK Orange Egypt 1 EG 517460 5318050000002118,-115.0,POS PURCHASE Orange Egypt EG
08/02/2022,08/02/2022,POS PURCHASE FT22039DFNDR\BNK APPLE COM BILL ITUNES COM IE 5318050000002118,-41.19,POS PURCHASE APPLE COM BILL ITUNES COM IE
09/02/2022,09/02/2022,ATM WITHDRAWAL FT220408WGFV\BNK CIB TOLIP CLUB CAIRO EG 08520848 5318050000002118,-100.0,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG
10/02/2022,10/02/2022,POS PURCHASE FT22041417DC\BNK Talabat Cairo EG 526805 5318050000002118,-121.0,POS PURCHASE Talabat Cairo EG
14/02/2022,14/02/2022,POS PURCHASE FT22045ZSZGS\BNK TBSW Knowledge Hub Mohandessin EG T0011481 5318050000002118,-69.6,POS PURCHASE TBSW Knowledge Hub Mohandessin EG
14/02/2022,14/02/2022,POS PURCHASE FT22045450YQ\BNK Talabat Cairo EG 526805 5318050000002118,-96.89,POS PURCHASE Talabat Cairo EG
14/02/2022,14/02/2022,ATM WITHDRAWAL FT22045Q3WFJ\BNK CIB TOLIP CLUB CAIRO EG 08520848 5318050000002118,-1000.0,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG
22/02/2022,22/02/2022,POS PURCHASE FT22053Y47TW\BNK FLAMINGO CAIRO N 07AEG 00153701 5318050000002118,-15.57,POS PURCHASE FLAMINGO CAIRO
24/02/2022,24/02/2022,POS PURCHASE FT22055526DZ\BNK MOBIL CAIRO EG 5318050000002118,-200.0,POS PURCHASE MOBIL CAIRO EG
27/02/2022,27/02/2022,Fees Account Transfer FT220588SVN3\A01 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
27/02/2022,27/02/2022,POS PURCHASE FT220586LCR8\BNK MOBILATY MOBILATY PO CAIRO N 07AEG 25721601 5318050000002118,-999.0,POS PURCHASE MOBILATY MOBILATY PO CAIRO
28/02/2022,28/02/2022,POS PURCHASE FT220598252R\BNK PAYPAL SPOTIFY 35314369001 GB 00000001 5318050000002118,-51.49,POS PURCHASE PAYPAL SPOTIFY GB
28/02/2022,28/02/2022,Credit Interest 100038175321-20220228,0.02,Credit Interest
03/03/2022,03/03/2022,POS PURCHASE FT22062SBCMG\BNK Orange Egypt 1 EG 517460 5318050000002118,-15.0,POS PURCHASE Orange Egypt EG
03/03/2022,03/03/2022,POS PURCHASE FT2206284RTZ\BNK Orange Egypt 1 EG 517460 5318050000002118,-108.0,POS PURCHASE Orange Egypt EG
08/03/2022,08/03/2022,POS PURCHASE FT22067GB2RM\BNK ELMENUS CAIRO S 07EEG CIBS2I01 5318050000002118,-105.0,POS PURCHASE ELMENUS CAIRO
10/03/2022,10/03/2022,POS PURCHASE FT22069NQTPF\BNK Orange Egypt 1 EG 517460 5318050000002118,-115.0,POS PURCHASE Orange Egypt EG
13/03/2022,13/03/2022,POS PURCHASE FT220722YL9X\BNK RAYA SUPERMARKET WAF CAIRO E 07EEG 23881107 5318050000002118,-291.65,POS PURCHASE RAYA SUPERMARKET WAF CAIRO
13/03/2022,13/03/2022,ATM DEPOSIT FT22072WJLTH\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,200.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
15/03/2022,15/03/2022,POS PURCHASE FT2207476593\BNK G2A COM AMSTERDAM NL ZEN00004 5318050000002118,-170.77,POS PURCHASE COM AMSTERDAM NL
15/03/2022,15/03/2022,ATM DEPOSIT FT220745N9QF\BNK CIB MOBILE EL NARGS CAIRO EG 08520057 5318050000002118 100038175321,400.0,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG
20/03/2022,20/03/2022,POS PURCHASE FT22079GKPH0\BNK TAZKARTI GIZA EG 5318050000002118,-350.0,POS PURCHASE TAZKARTI GIZA EG
21/03/2022,21/03/2022,POS PURCHASE FT2208085SJ9\BNK Orange Egypt 1 EG 517460 5318050000002118,-115.0,POS PURCHASE Orange Egypt EG
31/03/2022,31/03/2022,Fees Account Transfer FT220906BJ3K\B09 EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for 100038175321,-10.0,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for
31/03/2022,31/03/2022,Credit Interest 100038175321-20220331 CLOSING BALANCE,0.02,Credit Interest
