Date,Txn Date,Narrative,Value,Clean_Narrative
02/10/2022,02/10/2022,ATM WITHDRAWAL FT22275LMX0B\BNK BRKA AIRO EG BRKN0026 5264390000005656,-305.0,ATM WITHDRAWAL BRKA AIRO EG
02/10/2022,02/10/2022,POS PURCHASE FT2227553NG4\BNK Orange Egypt 1 EG 517460 5264390000005656,-286.0,POS PURCHASE Orange Egypt EG
03/10/2022,03/10/2022,POS PURCHASE FT222766HZ8F\BNK MOBILE OIL CAIRO EG 5264390000005656,-200.0,POS PURCHASE MOBILE OIL CAIRO EG
03/10/2022,03/10/2022,POS PURCHASE FT22276QV4HY\BNK GoogleAdwordsEU ADS147 Dublin IE 5264390000005656,-232.79,POS PURCHASE GoogleAdwordsEU Dublin IE
03/10/2022,03/10/2022,POS PURCHASE FT2227672BRP\BNK Myfawry Maadi EG NBE00071 5264390000005656,-339.9,POS PURCHASE Myfawry Maadi EG
05/10/2022,05/10/2022,Inward ACH FT22278C6W1Q\BNK A CH(TXALEXEGCX202210050810289530146 566) RTIN(DIG) FROM(324083473001)(م,15000.0,Inward ACH CH( ) RTIN(DIG) FROM()(
09/10/2022,09/10/2022,ATM WITHDRAWAL FT22282PVKQ2\BNK NBE ATM592 CAIRO EG NBE25982 5264390000005656,-105.0,ATM WITHDRAWAL NBE CAIRO EG
10/10/2022,10/10/2022,POS PURCHASE FT222837XKPS\BNK Sphinx Publishing CAIRO EG 5264390000005656,-2500.0,POS PURCHASE Sphinx Publishing CAIRO EG
11/10/2022,11/10/2022,POS PURCHASE FT22284D21YF\BNK Orange Egypt 1 EG 517460 5264390000005656,-15.0,POS PURCHASE Orange Egypt EG
13/10/2022,13/10/2022,POS PURCHASE FT2228684S1R\BNK MCDONALDS MOBIL ELNARG CAIRO N 07AEG 00302684 5264390000005656,-110.01,POS PURCHASE MCDONALDS MOBIL ELNARG CAIRO
16/10/2022,16/10/2022,POS PURCHASE FT22289D1SZP\BNK BARBR RESTAURANT CAIRO EG 5264390000005656,-435.0,POS PURCHASE BARBR RESTAURANT CAIRO EG
16/10/2022,16/10/2022,POS PURCHASE FT222895R9BQ\BNK CHILLOUT MASTER 2 AINS SUEZ 29DEG 00306964 5264390000005656,-200.0,POS PURCHASE CHILLOUT MASTER AINS SUEZ
19/10/2022,19/10/2022,Inward ACH FT22292ZS9TG\BNK ACH(414OTDB222910004) RTIN()مصروف F R OM(EG520003041430104622268000130)(,6000.0,Inward ACH ACH() RTIN()مصروف OM()(
19/10/2022,19/10/2022,ATM WITHDRAWAL FT222920RQN4\BNK BM KNOWLEDGE INTER UNI RTANTA EG BM017808 5264390000005656,-105.0,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG
20/10/2022,20/10/2022,POS PURCHASE FT222933MK04\BNK FACEBK FHBG7JT7P2 fb me ads IE 5264390000005656,-206.0,POS PURCHASE FACEBK fb me ads IE
20/10/2022,20/10/2022,POS PURCHASE FT22293BQ7NL\BNK FACEBK 6FGEMH78P2 fb me ads IE 5264390000005656,-206.0,POS PURCHASE FACEBK fb me ads IE
20/10/2022,20/10/2022,POS PURCHASE FT22293Y9KBY\BNK OTT SIDE BY SIDEMEN WORTHING GB QWBMVHCZ 5264390000005656,-161.79,POS PURCHASE OTT SIDE BY SIDEMEN WORTHING GB QWBMVHCZ
20/10/2022,20/10/2022,POS PURCHASE FT22293N65H9\BNK FACEBK MFAZNJX7P2 fb me ads IE 5264390000005656,-206.0,POS PURCHASE FACEBK fb me ads IE
23/10/2022,23/10/2022,ATM WITHDRAWAL FT222968WDQ6\BNK CIB TOLIP CLUB CAIRO EG 08520848 5264390000005656,-1600.0,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG
